model_1,model_2,b_(1right_2wrong),c_(1wrong_2right),chi2,p,odds_ratio
Logistic Regression,Random Forest,2260,3813,396.625,2.9896749785922344e-88,0.593
Logistic Regression,XGBoost,1890,3095,290.796,3.3358457983558543e-65,0.611
Logistic Regression,MLP (Full FT),2141,1378,165.003,9.135899034924601e-38,1.554
Logistic Regression,MLP (LoRA),2024,1411,109.038,1.592400593578933e-25,1.434
Random Forest,XGBoost,2588,2240,24.94,5.915088956202941e-07,1.155
Random Forest,MLP (Full FT),4312,1996,849.592,8.91892434118224e-187,2.16
Random Forest,MLP (LoRA),4149,1983,764.388,2.9857275603869667e-168,2.092
XGBoost,MLP (Full FT),3770,1802,694.381,4.985113181351644e-153,2.092
XGBoost,MLP (LoRA),3506,1688,635.635,2.973275568956358e-140,2.077
MLP (Full FT),MLP (LoRA),1258,1408,8.327,0.0039050287641575238,0.894
