feature,mean_abs_shap
EXT_SOURCE_3,0.39474124
EXT_SOURCE_2,0.3600239
AMT_GOODS_PRICE,0.17222224
AMT_CREDIT,0.1418773
DAYS_BIRTH,0.11367214
DAYS_EMPLOYED,0.112659715
NAME_EDUCATION_TYPE_Higher education,0.09879024
CODE_GENDER_F,0.09137622
FLAG_OWN_CAR_N,0.08201818
AMT_ANNUITY,0.076584116
DAYS_ID_PUBLISH,0.06763709
CODE_GENDER_M,0.061384052
FLAG_DOCUMENT_3,0.053556945
NAME_FAMILY_STATUS_Married,0.05234063
DAYS_LAST_PHONE_CHANGE,0.045030486
NAME_CONTRACT_TYPE_Cash loans,0.041339323
AMT_REQ_CREDIT_BUREAU_QRT,0.032793127
REGION_RATING_CLIENT_W_CITY,0.031611603
NAME_INCOME_TYPE_Working,0.029896129
AMT_REQ_CREDIT_BUREAU_YEAR,0.026855094
AMT_INCOME_TOTAL,0.023158312
FLAG_WORK_PHONE,0.02192391
NAME_EDUCATION_TYPE_Secondary / secondary special,0.021451846
DEF_60_CNT_SOCIAL_CIRCLE,0.020822974
DAYS_REGISTRATION,0.020644026
REG_CITY_NOT_LIVE_CITY,0.019256044
DEF_30_CNT_SOCIAL_CIRCLE,0.016905077
FLAG_PHONE,0.015596752
REGION_POPULATION_RELATIVE,0.014823153
OCCUPATION_TYPE_Core staff,0.013997594
ORGANIZATION_TYPE_Self-employed,0.013146909
HOUR_APPR_PROCESS_START,0.012713002
OCCUPATION_TYPE_Accountants,0.011174735
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.007404846
FLAG_OWN_CAR_Y,0.006883426
ORGANIZATION_TYPE_Construction,0.006757784
FLAG_DOCUMENT_16,0.0065940986
WEEKDAY_APPR_PROCESS_START_MONDAY,0.006032685
NAME_HOUSING_TYPE_House / apartment,0.005872496
FLAG_OWN_REALTY_N,0.0058336817
REG_CITY_NOT_WORK_CITY,0.0057693426
OCCUPATION_TYPE_Drivers,0.0057384414
ORGANIZATION_TYPE_Business Entity Type 3,0.0056603467
AMT_REQ_CREDIT_BUREAU_MON,0.0056389286
ORGANIZATION_TYPE_School,0.0048410227
REGION_RATING_CLIENT,0.004495138
CNT_FAM_MEMBERS,0.00438415
ORGANIZATION_TYPE_Military,0.004262582
ORGANIZATION_TYPE_Trade: type 2,0.0041213282
OBS_30_CNT_SOCIAL_CIRCLE,0.00402825
OBS_60_CNT_SOCIAL_CIRCLE,0.00402628
NAME_FAMILY_STATUS_Single / not married,0.003832141
NAME_INCOME_TYPE_State servant,0.003733172
FLAG_DOCUMENT_18,0.0034352685
NAME_CONTRACT_TYPE_Revolving loans,0.0033625062
OCCUPATION_TYPE_Sales staff,0.003046226
NAME_INCOME_TYPE_Pensioner,0.003024609
OCCUPATION_TYPE_Managers,0.0025871925
FLAG_DOCUMENT_13,0.0025369923
OCCUPATION_TYPE_High skill tech staff,0.0024496827
NAME_TYPE_SUITE_Unaccompanied,0.0024171548
ORGANIZATION_TYPE_Industry: type 9,0.002366936
ORGANIZATION_TYPE_Transport: type 3,0.0023641163
FLAG_DOCUMENT_8,0.0021798695
AMT_REQ_CREDIT_BUREAU_WEEK,0.002125737
CNT_CHILDREN,0.0019407949
